osm_type,osm_id,internal_id,query,confidence_score
way,154470603,0x130e44cd6e20475f:0x671441b8dc03be60,Kalkara,0.5666666666666667
node,5896564791,0x130e45014da2fa03:0xf743a120b9194c06,"Spar, Triq Tigné",0.5666666666666667
node,2471609507,0x130e4501edfb329b:0x9edcdba888218c47,"Bayview Hotel & Apartments, The Strand 143, Sliema",0.6416666666666666
node,6222651588,0x130e450a6e7438bd:0x5af47e8f69212d52,"David Hardware Store, Triq Carlo Manche",0.625
node,6635172974,0x130e451ad5f0c673:0x1973502978d5c025,"Chef Lee, Triq d'Argens",0.6625
relation,12634993,0x130e451d009c771d:0x1cf6ec5b812ebc75,"Consulate General of Austria, Vjal Sir Temi Zammit 8, XBX 1011, Ta' Xbiex",0.4916666666666666
node,7442975758,0x130e451fb816909b:0xd8a592326a69a444,"111 Art Gallery, Triq il-Gnien 38/40, GZR1411, Gzira",0.6625
way,532280196,0x130e4524d863accb:0x59b5320a6f75ae7b,Triq Tigné,0.5666666666666667
node,6762940584,0x130e4525313284cd:0x74fab348121af42f,"HB mini market, Mattew Pulis Street, Sliema",0.7541666666666667
way,339461449,0x130e4525391b83bd:0x8e64cfd286b0304a,"Rocca Nettuno Suites, Mattew Pulis Street, SLM 3052, Sliema",0.9249999999999999
node,4520210790,0x130e4525449b1c9b:0xc30141cdbc076c0b,"Bonavia Offset Printers, Ix-Xatt ta' Tigné",0.4
node,6652710861,0x130e45256229dd63:0xba4f9dfa3c3a1be5,"Balance Bowl, Triq Ix-Xatt 182",0.8499999999999999
node,6029375986,0x130e4525648b1189:0x8450119c56aa52ae,"Terrace Restaurant Sliema, Ix-Xatt ta' Tigné",0.8875
node,5895898460,0x130e4525a369b70b:0x97db04184cc49842,"Cibo, Piazza Tigné",0.6041666666666666
node,6586848918,0x130e4525bf41cc0b:0x4991ff29c2de2b0f,"Medirect Bank, Tigné Point",0.7166666666666666
way,552460832,0x130e4525c08821e7:0xfd04990cc39f6023,"The Centre, Pjazza Tigné, TPO 0001, Tas-Sliema",0.6416666666666666
way,279285695,0x130e45281d8647c5:0x745ad38ee242c917,Valletta,0.49166666666666664
node,7837644686,0x130e45295846ccc1:0xac677a191ebb463f,"Di Carafa, Triq l-Ifran",0.625
node,5056882129,0x130e4529d6bd8bf9:0x9414dd60422fd879,"St Elmo Bastion, Mediterranean Street, Valletta",0.6416666666666666
node,5420985023,0x130e452a1b8f40f3:0xa794cd316ad426a7,"Entrance Holy Infirmary, Triq l-Isptar, VLT 1645",0.41666666666666663
node,4344290323,0x130e452a28c84043:0xfb630125479dcb9c,"Elia Greek Cuisine, Merchant Steet 73",0.7
